13483,2,20120101033305
13719,2,20120101042842
10135,2,20120101090841
4327,2,20120101094117
4373,4,20120101105921
8519,2,20120101110952
13035,2,20120101111318
13151,2,20120101123917
511,2,20120101180515
7566,4,20120101221900
13750,2,20120102011116
5816,2,20120102054322
13188,2,20120102054828
13888,2,20120102070118
16051,13,20120102080853
16051,94,20120102080853
16051,36,20120102080853
6857,50,20120102113044
6857,6,20120102113044
15325,2,20120102113526
11552,2,20120102113844
13415,2,20120102135833
8482,2,20120102161441
8876,2,20120103005407
1766,8,20120103010229
1766,4,20120103010229
1766,7,20120103010229
1766,50,20120103010229
1766,17,20120103010229
9877,31,20120103010358
9877,58,20120103010358
9877,4,20120103010358
913,2,20120103023326
16915,2,20120103032029
4230,2,20120103032326
10696,2,20120103075317
9596,2,20120103091930
8796,2,20120103092538
15883,5,20120103121614
1842,2,20120103124144
17777,2,20120103142759
2261,74,20120103194749
2261,7,20120103194749
2261,5,20120103194749
2321,4,20120103220215
1750,2,20120103231035
12894,5,20120104000714
15191,2,20120104000932
11470,2,20120104003342
7616,4,20120104003444
14839,4,20120104005220
97,2,20120104005427
10400,2,20120104053111
9075,2,20120104091906
2765,7,20120104113517
2765,5,20120104113517
15712,4,20120104122614
3354,2,20120104125706
9622,2,20120104205552
17268,2,20120105022744
5400,2,20120105024452
5850,4,20120105032358
5703,2,20120105032822
606,2,20120105051327
13522,2,20120105074222
4859,50,20120105105520
1984,4,20120105111520
5399,183,20120105131358
5399,35,20120105131358
5399,4,20120105131358
13301,19,20120105154818
15303,4,20120106030251
15303,7,20120106030251
9769,2,20120106070835
10517,2,20120106104020
358,70,20120106161012
358,5,20120106161012
443,5,20120106181627
443,61,20120106181627
15856,7,20120106183832
15856,5,20120106183832
15856,72,20120106183832
15856,4,20120106183832
15856,9,20120106183832
13212,58,20120106221131
4936,2,20120106222112
697,2,20120106223930
13376,2,20120107005854
2293,4,20120107042715
2293,109,20120107042715
9640,2,20120107051122
15437,2,20120107061912
17468,2,20120107064806
12989,85,20120107125625
12989,5,20120107125625
12989,61,20120107125625
7058,2,20120107223816
3727,2,20120108015535
7275,50,20120108111156
9108,2,20120109021616
4048,2,20120109044007
7078,2,20120109075949
9299,4,20120109142832
3996,4,20120109215215
2152,2,20120110012600
16388,5,20120110154901
16388,29,20120110154901
11837,4,20120110185124
11837,50,20120110185124
7422,2,20120110185720
4529,53,20120110223900
4529,9,20120110223900
15634,2,20120110225915
16922,2,20120111024403
14454,2,20120111025437
16695,8,20120111043956
13946,2,20120111080131
9573,74,20120111092353
1026,2,20120111125125
2503,2,20120111143053
14691,4,20120111152849
6021,190,20120111153755
6021,5,20120111153755
6021,31,20120111153755
1847,2,20120112065550
43,2,20120112080343
16798,2,20120112090953
14159,4,20120112135100
2439,4,20120112142839
2439,7,20120112142839
8277,8,20120112151143
8277,4,20120112151143
15820,4,20120112210719
14667,2,20120113030501
9626,4,20120113033450
2921,2,20120113093504
14317,2,20120113130119
6325,2,20120113154111
16247,20,20120113204229
13760,2,20120113230814
14122,2,20120114033858
6713,2,20120114042631
4987,7,20120114042805
4987,4,20120114042805
12707,4,20120114061622
12707,8,20120114061622
14103,2,20120114062906
16310,2,20120114074403
9787,2,20120114080327
9795,2,20120114080424
9794,2,20120114080603
9788,2,20120114080734
7640,4,20120114091442
9777,2,20120114102818
8284,2,20120114121103
9553,2,20120114122924
9902,2,20120114150018
17155,4,20120115153743
17155,5,20120115153743
17117,2,20120116001607
15588,4,20120116051236
15588,8,20120116051236
1290,2,20120116122514
1382,4,20120116171057
8436,4,20120116202851
7831,2,20120116222036
10916,4,20120117004203
3670,2,20120117012017
11039,35,20120117023459
15332,2,20120117034100
15761,4,20120117035411
14308,2,20120117055144
17093,7,20120117055627
17093,4,20120117055627
1687,4,20120117061301
1687,5,20120117061301
1986,107,20120117084254
9497,4,20120117092837
16986,2,20120117121803
13980,2,20120117132754
4067,7,20120117133423
4067,29,20120117133423
714,2,20120117135538
11460,4,20120117202641
7194,4,20120117231113
11859,2,20120118015817
10338,2,20120118025658
13506,9,20120118034405
13506,74,20120118034405
9235,4,20120118034825
9235,6,20120118034825
9235,5,20120118034825
5659,4,20120118095359
8709,2,20120118120812
15192,4,20120118125001
4985,7,20120118125050
4985,4,20120118125050
4811,4,20120118125643
5500,2,20120118152505
11058,4,20120118162205
12585,2,20120118164407
11436,2,20120118203120
4620,2,20120119041004
17919,2,20120119055920
11775,4,20120119070749
10917,4,20120119094202
5616,2,20120119095840
7817,4,20120119101631
3186,2,20120119120143
11439,8,20120119125822
13052,44,20120119145611
14475,5,20120119190438
14475,61,20120119190438
1977,2,20120119230058
13900,2,20120120004920
10231,2,20120120015331
87,2,20120120033439
14847,2,20120120035202
3393,2,20120120040542
663,2,20120120130859
7700,5,20120120140958
2126,4,20120120170306
2126,5,20120120170306
16640,18,20120120174750
6949,4,20120120180410
5488,2,20120120185544
5262,2,20120120193230
6048,38,20120120201653
6048,28,20120120201653
6048,4,20120120201653
6048,29,20120120201653
11295,219,20120121000358
11295,5,20120121000358
3939,2,20120121003435
2320,2,20120121015307
